skill,capability,owner,primary_hosts,branch_hashes,drift_type,recommendation,notes
causal555-pywhy,RESEARCH,HERMES,HERMES|AAA,"{""HERMES"": ""1c0e8037a3dc1377"", ""AAA"": ""d95cf0332c1d4f6b""}",BIDIRECTIONAL_DIVERGENCE,MERGE,2 physical branches detected across federation.
FORGE-komda-color-law,RESEARCH,HERMES,HERMES|AAA,"{""HERMES"": ""f7b47f509648ce1c"", ""AAA"": ""54f86ff5e37e096c""}",BIDIRECTIONAL_DIVERGENCE,MERGE,2 physical branches detected across federation.
FORGE-onboarding,RESEARCH,HERMES,HERMES|AAA,"{""HERMES"": ""59f2205edd0758f7"", ""AAA"": ""66df150705492b04""}",BIDIRECTIONAL_DIVERGENCE,MERGE,2 physical branches detected across federation.
FORGE-federation-orchestrator,RESEARCH,HERMES,HERMES|KIMI,"{""HERMES"": ""ab696926b4319dd1"", ""KIMI"": ""fb8f97f2c3806922""}",SPECIALIZATION,MERGE,2 physical branches detected across federation.
AAA-OCR-optical-compression,RESEARCH,HERMES,HERMES|AAA,"{""HERMES"": ""c306617612e7c3f0"", ""AAA"": ""7922e5376086946d""}",BIDIRECTIONAL_DIVERGENCE,MERGE,2 physical branches detected across federation.
AGI-decisions-reflect,RESEARCH,HERMES,HERMES|AAA,"{""HERMES"": ""90d4dda6d087a5f7"", ""AAA"": ""15d7c9b079c257d6""}",BIDIRECTIONAL_DIVERGENCE,MERGE,2 physical branches detected across federation.
FORGE-react-spa-discipline,CODING,A2M,HERMES|AAA,"{""HERMES"": ""918f340f5bf24e70"", ""AAA"": ""3a30ccfc6f9b65f1""}",A2M_DRIFT_IN_HERMES,PROMOTE_AAA,2 physical branches detected across federation.
submission-readiness-audit,RESEARCH,HERMES,HERMES|AAA,"{""HERMES"": ""b3340f76b2e06bbc"", ""AAA"": ""1aa54a260d90b6e3""}",BIDIRECTIONAL_DIVERGENCE,MERGE,2 physical branches detected across federation.
AGI-web-optimization,RESEARCH,HERMES,HERMES|AAA,"{""HERMES"": ""2a91038bf315e635"", ""AAA"": ""9feb772c5396e4d7""}",BIDIRECTIONAL_DIVERGENCE,MERGE,2 physical branches detected across federation.
AAA-somatic-emd-pipeline,RESEARCH,HERMES,HERMES|AAA,"{""HERMES"": ""5e8c9eb956e6a242"", ""AAA"": ""97060622f0707153""}",BIDIRECTIONAL_DIVERGENCE,MERGE,2 physical branches detected across federation.
APEX-fff-loop-protocol,RESEARCH,HERMES,HERMES|KIMI,"{""HERMES"": ""d0cd7fb563789f3d"", ""KIMI"": ""6443093409893513""}",SPECIALIZATION,MERGE,2 physical branches detected across federation.
AGI-multimodal-bridge,RESEARCH,HERMES,HERMES|AAA,"{""HERMES"": ""924fcbc12ac7ac1b"", ""AAA"": ""9fb2e9fbf1ee4dc1""}",BIDIRECTIONAL_DIVERGENCE,MERGE,2 physical branches detected across federation.
FORGE-ci-diagnose,RESEARCH,HERMES,HERMES|AAA,"{""HERMES"": ""45d141ae14d061dc"", ""AAA"": ""eec9bca65f20191e""}",BIDIRECTIONAL_DIVERGENCE,MERGE,2 physical branches detected across federation.
FORGE-code-analysis,CODING,A2M,HERMES|AAA,"{""HERMES"": ""bbf91b6436bca791"", ""AAA"": ""1afadac13a6703f7""}",A2M_DRIFT_IN_HERMES,PROMOTE_AAA,2 physical branches detected across federation.
FORGE-kimi-code,CODING,A2M,HERMES|AAA,"{""HERMES"": ""e349d3913ca52847"", ""AAA"": ""3abf74873e25a22b""}",A2M_DRIFT_IN_HERMES,PROMOTE_AAA,2 physical branches detected across federation.
ASI-fabrication-prevention,RESEARCH,HERMES,HERMES|AAA,"{""HERMES"": ""d4b099b422b83d15"", ""AAA"": ""c812fe41cc05de0a""}",BIDIRECTIONAL_DIVERGENCE,MERGE,2 physical branches detected across federation.
runpodctl,RESEARCH,HERMES,HERMES|AAA,"{""HERMES"": ""f36ccf655f1ffa0f"", ""AAA"": ""f0a6f15c493c0b5a""}",BIDIRECTIONAL_DIVERGENCE,MERGE,2 physical branches detected across federation.
FORGE-skill-linter,RESEARCH,HERMES,HERMES|KIMI,"{""HERMES"": ""059f4054cbbcfebe"", ""KIMI"": ""cbff8c0b03677476""}",SPECIALIZATION,MERGE,2 physical branches detected across federation.
