skill,capability,owner,primary_hosts,branch_hashes,drift_type,recommendation,notes
MY-REALITY-STACK,RESEARCH,HERMES,HERMES|AAA,"{""HERMES"": ""a48d4d164cb2abb6"", ""AAA"": ""f88f7d04a338aac3""}",BIDIRECTIONAL_DIVERGENCE,MERGE,2 physical branches detected across federation.
FORGE-agentic-web-builder,CODING,A2M,HERMES|AAA,"{""HERMES"": ""041879b41728259e"", ""AAA"": ""63ca7445868f2557""}",A2M_DRIFT_IN_HERMES,PROMOTE_AAA,2 physical branches detected across federation.
FORGE-context-compressor,RESEARCH,HERMES,HERMES|AAA,"{""HERMES"": ""2547a3fc30078f4d"", ""AAA"": ""fc59f7cdfce259f7""}",BIDIRECTIONAL_DIVERGENCE,MERGE,2 physical branches detected across federation.
substrate,RESEARCH,HERMES,HERMES|AAA,"{""HERMES"": ""f24141e73e5d26e9"", ""AAA"": ""0f6cccf03c55aa45""}",BIDIRECTIONAL_DIVERGENCE,MERGE,2 physical branches detected across federation.
FORGE-infra-crons,DEPLOYMENT,A-FORGE,HERMES|AAA,"{""HERMES"": ""c13939308470ff4d"", ""AAA"": ""7436c389f4dd1df8""}",A2M_DRIFT_IN_HERMES,PROMOTE_AAA,2 physical branches detected across federation.
FORGE-did-web-identity,RESEARCH,HERMES,HERMES|AAA,"{""HERMES"": ""4bd1985d31fcc4fe"", ""AAA"": ""62cc45721fc25c79""}",BIDIRECTIONAL_DIVERGENCE,MERGE,2 physical branches detected across federation.
seven-zen-organs-enforcement,RESEARCH,HERMES,HERMES|KIMI,"{""HERMES"": ""53a369fbc67a9ada"", ""KIMI"": ""85a3e489b974f470""}",SPECIALIZATION,MERGE,2 physical branches detected across federation.
FORGE-spatial-grounding,RESEARCH,HERMES,HERMES|AAA,"{""HERMES"": ""9fbf4b38fcdbde4e"", ""AAA"": ""d74c953cace45c46""}",BIDIRECTIONAL_DIVERGENCE,MERGE,2 physical branches detected across federation.
AAA-audio-emd-pipeline,MULTIMODAL_PERCEPTION,HERMES,HERMES|AAA,"{""HERMES"": ""8629165faf2d88fa"", ""AAA"": ""abf0f3c08948fcc7""}",BIDIRECTIONAL_DIVERGENCE,MERGE,2 physical branches detected across federation.
FORGE-mcp-probe,RESEARCH,HERMES,HERMES|OPENCODE_CONFIG,"{""HERMES"": ""aa6c03dc44e5c0d5"", ""OPENCODE_CONFIG"": ""96c31c7b48811d0f""}",SPECIALIZATION,MERGE,2 physical branches detected across federation.
